Date,Open,High,Low,Close,Volume
29-07-16,217.72,218.79,217.38,218.37,3093539
01-08-16,218.47,218.9,217.65,218.12,3693742
02-08-16,217.91,218.07,215.81,216.83,4835021
03-08-16,216.73,217.48,216.39,217.47,2448646
04-08-16,217.56,218.02,217.07,2.18E+02,2143379
05-08-16,218.51,219.48,218.33,219.4,3348537
08-08-16,219.66,219.78,219,219.28,1575656
09-08-16,219.42,220.01,219.06,219.42,1665905
10-08-16,219.6,219.67,218.47,218.88,2775159
11-08-16,219.54,220.2,219.21,219.89,1791727
12-08-16,219.56,219.97,219.26,219.71,1563325
15-08-16,220.15,220.76,220.15,220.37,1337858
16-08-16,219.86,219.93,219.23,219.25,2987987
17-08-16,219.27,219.79,218.28,219.65,2903282
18-08-16,219.6,220.16,219.48,220.16,1888377
19-08-16,219.59,220.01,219,219.82,1657842
22-08-16,219.55,220.06,219.09,219.75,1138784
23-08-16,220.51,220.88,220.16,220.21,1698032
24-08-16,220.06,220.17,218.64,219.17,1526876
25-08-16,218.66,219.45,218.48,218.95,4890438
26-08-16,219.16,220.39,217.5,218.56,4310466
29-08-16,218.71,219.91,218.64,219.6,1576640
30-08-16,219.55,219.82,218.61,219.26,1548081
31-08-16,218.89,219.01,217.73,218.65,2531730
01-09-16,218.64,218.99,217.28,218.67,3249279
02-09-16,219.7,220.14,218.98,219.63,2301558
06-09-16,219.95,220.37,219.12,220.37,3360059
07-09-16,220.12,220.48,219.58,220.33,3668158
08-09-16,219.89,220.22,219.43,219.81,3038323
09-09-16,218.27,218.28,214.48,214.54,7335011
12-09-16,213.59,218.06,213.54,217.63,5111594
13-09-16,216.05,216.37,213.75,214.47,6515392
14-09-16,2.15E+02,215.93,213.71,214.35,4224577
15-09-16,214.14,216.97,213.96,216.52,3416392
16-09-16,215.78,216,214.87,215.62,5064693
19-09-16,216.49,217.21,215.34,215.73,2090342
20-09-16,216.71,216.91,215.69,215.75,2005758
21-09-16,216.55,218.36,215.76,218.16,4112050
22-09-16,219.36,219.88,219.06,219.5,4355343
23-09-16,219.06,219.21,218.23,218.35,2483933
26-09-16,216.25,216.46,215.24,215.45,3025937
27-09-16,215.26,216.9,214.84,216.76,3252368
28-09-16,217.07,218.03,215.95,217.9,2140214
29-09-16,217.64,218.1,215.28,215.94,3913243
30-09-16,216.88,218.35,216.6,217.56,3952787
03-10-16,217.03,217.27,216.26,216.89,4755896
