Date,Open,High,Low,Close,Volume
28-05-15,73.22,73.43,72.69,73.02,25164
29-05-15,73.46,74.04,73.23,73.7,49320
01-06-15,73.54,73.6,72.5,73.18,30468
02-06-15,73.62,73.7,72.02,72.13,42632
03-06-15,72.13,72.13,71.22,71.31,64309
04-06-15,71.54,71.57,70.4,70.41,84899
05-06-15,70.53,70.71,69.91,70.46,33453
09-06-15,70.49,70.6,69.8,70.01,49614
10-06-15,70.01,70.27,69.7,7.00E+01,43586
11-06-15,70.51,70.99,70.51,70.91,18477
12-06-15,71.22,71.22,70.7,70.82,21064
15-06-15,70.63,70.74,70.15,70.74,26816
16-06-15,70.92,71.2,70.61,70.82,28113
17-06-15,71.2,71.6,71.16,71.52,26981
18-06-15,71.37,71.55,70.3,70.87,33195
19-06-15,71.43,71.76,71.22,71.6,22626
22-06-15,71.65,71.66,71.12,71.6,29284
23-06-15,72,72.63,72,72.63,31178
24-06-15,72.8,72.86,72.53,72.68,32413
25-06-15,72.64,72.64,72,72,22844
26-06-15,72.13,72.13,70.81,70.95,74622
29-06-15,70.35,70.35,69.3,69.4,86246
30-06-15,69.27,70.95,69.05,69.99,73612
01-07-15,69.8,70.3,69.48,70.04,68092
02-07-15,70.75,71.24,70.25,71.03,52150
03-07-15,71.19,71.19,69.74,70.22,36534
06-07-15,69.4,69.63,69,69.63,66376
07-07-15,69.96,70.8,69.77,70.79,23974
08-07-15,70.36,70.56,69.35,69.5,73862
09-07-15,69.14,69.67,68.35,69.6,71739
10-07-15,70.01,70.33,69.68,69.78,34088
13-07-15,70,70.23,69.36,69.68,224795
14-07-15,70.79,70.93,70.5,70.78,23379
15-07-15,71.09,71.5,71.05,71.45,52282
16-07-15,72.39,72.5,71.63,72,44165
17-07-15,72.51,72.51,71.64,71.94,29519
20-07-15,72,72.13,71.65,72.08,30732
21-07-15,72.11,72.66,72.08,72.46,31566
22-07-15,72.16,72.21,71.23,71.3,56550
23-07-15,71.36,71.45,70.87,71.07,23531
24-07-15,70.81,71.12,70.36,70.75,42179
27-07-15,70.5,70.81,70.25,70.75,46504
28-07-15,70.55,71.1,70.2,70.72,52124
29-07-15,71.45,71.77,71.25,71.37,30067
30-07-15,71.41,71.96,71.41,71.96,39040
31-07-15,72,72.26,72,72.1,36925
03-08-15,72.49,72.49,71.89,71.95,45618
04-08-15,72.01,72.6,71.85,72.27,64205
05-08-15,72.5,72.5,71.5,71.75,40989
06-08-15,71.9,71.9,70.71,71.06,38960
07-08-15,70.78,70.78,69.55,69.58,98324
10-08-15,69.58,69.93,69.24,69.82,349696
11-08-15,70.11,70.51,69.32,69.52,50206
12-08-15,69.95,7.00E+01,68.25,68.51,67471
13-08-15,69.35,69.35,68.55,68.55,48572
14-08-15,68.79,68.79,68,68.41,33892
17-08-15,68.63,68.87,68.33,68.46,34747
18-08-15,68.79,68.79,67.6,67.7,61596
19-08-15,68.24,68.75,67.8,68.75,50380
20-08-15,67.93,68.18,67.39,67.51,52177
21-08-15,67.03,67.06,66.11,66.55,112438
24-08-15,65.3,65.47,63.84,64.08,193013
25-08-15,62.1,65.9,62.1,65.5,244992
26-08-15,64.67,66.27,64.02,66.14,99268
27-08-15,67.35,68.79,66.95,67.07,95309
28-08-15,68.2,68.2,66.95,67.4,66947
31-08-15,67.26,67.26,66.1,66.57,59232
01-09-15,66.37,66.73,65.26,65.32,70443
02-09-15,65.06,65.43,64.34,65.18,84394
03-09-15,66,66.52,64.57,64.59,136184
04-09-15,64.8,65.01,64.1,64.62,48742
07-09-15,65,65.12,63.97,64.47,46293
08-09-15,65,65.85,64.96,65.85,67703
09-09-15,66.29,67.49,66.29,67.49,75179
10-09-15,66.16,66.26,65.53,65.87,43093
11-09-15,65.96,65.97,65.15,65.46,36126
14-09-15,66,66.4,65.38,65.8,42939
15-09-15,66,66.07,64.67,64.91,37126
16-09-15,65.59,65.73,65.22,65.73,39429
17-09-15,6.68E+01,66.92,66.27,66.32,36296
18-09-15,66.5,66.96,65.68,66.71,33197
21-09-15,65.77,65.77,64.8,65.22,92208
22-09-15,65.73,66.08,65.37,65.95,34356
23-09-15,65.2,65.2,64.36,64.57,61841
24-09-15,64.85,65.53,64.85,65.53,40343
25-09-15,65.6,65.95,65.1,65.18,31374
28-09-15,65.28,65.88,64.9,65.85,58175
29-09-15,64.82,64.82,63.52,63.58,112195
30-09-15,63.89,64.7,63.81,64.55,116635
01-10-15,64.69,65.1,64.14,65.1,33728
02-10-15,64.77,65.06,64.18,6.42E+01,42785
05-10-15,65,65.6,65,65.6,88149
06-10-15,66.28,6.64E+01,65.6,65.6,47832
07-10-15,65.61,66,65.29,65.96,22534
08-10-15,66.39,66.75,66.11,66.23,26066
09-10-15,66.76,67.41,66.65,67,23150
12-10-15,67.07,67.15,66.37,66.44,38808
13-10-15,66.58,66.58,65.8,66.07,55896
14-10-15,66.16,66.24,65.7,66.16,40953
15-10-15,66.35,66.55,66.01,66.4,39986
16-10-15,67.19,67.4,66.89,67.37,35945
19-10-15,67.32,67.35,66.75,67.06,23670
20-10-15,66.9,67.01,66.55,66.79,44822
21-10-15,66.56,66.92,66.13,66.84,23621
22-10-15,66.76,66.97,66.4,66.97,33250
