Date,Open,High,Low,Close,Volume
27-03-15,75.5,76.41,75.5,75.9,10333
30-03-15,75.65,75.8,75.04,75.2,17118
31-03-15,75.52,77.23,75,75.09,17414
01-04-15,73.3,7.47E+01,71.93,74.35,83081
02-04-15,74.78,75.34,74.42,75.02,12386
07-04-15,76.26,76.28,74.8,74.97,33322
08-04-15,75.01,7.60E+01,75.01,76,14013
09-04-15,74.73,76.22,74.73,75.47,10804
10-04-15,76.42,76.42,75.34,76.08,17134
13-04-15,76.2,76.8,76,76.25,21633
14-04-15,76.75,76.75,75.6,76.11,17020
15-04-15,76.5,76.5,74.6,75.05,21575
16-04-15,76.5,76.5,75.25,76,21565
17-04-15,76,76,74,74.24,24225
20-04-15,74.34,74.5,73,74.33,17465
21-04-15,76,76,74.05,74.5,17480
22-04-15,75.1,75.1,73.7,73.88,20694
23-04-15,74.19,74.19,73.55,74,13736
24-04-15,75.24,75.36,74.49,75.29,12707
27-04-15,76,76.28,75.3,75.7,13755
28-04-15,75.98,76,75.09,75.47,18068
29-04-15,75.26,75.4,74.36,74.36,28897
30-04-15,73.98,74.17,72.51,73.18,26741
01-05-15,74.98,74.98,72.9,74.02,15191
04-05-15,74.4,74.99,74.34,74.88,15592
06-05-15,74.98,74.98,73.3,73.37,23998
07-05-15,73.25,73.25,72.15,72.34,19037
08-05-15,72.6,73.8,72.6,73.34,12037
11-05-15,73.95,74.67,73.22,73.36,13266
12-05-15,74,74.05,72.5,73.66,6484
13-05-15,73.58,73.58,72.9,72.98,10192
14-05-15,72.88,73.42,72.3,73.25,14588
15-05-15,74.93,75.01,73.71,74,18876
18-05-15,74,74.86,73.99,74.16,13164
19-05-15,74.1,74.1,73.15,73.15,11345
20-05-15,73.2,74.03,73.2,73.78,23516
21-05-15,73.97,74.15,73.67,73.7,9414
22-05-15,73.9,74.61,73.9,74.61,7547
25-05-15,75.01,75.44,74.5,74.53,18821
26-05-15,74.54,75.29,74.54,75.25,22749
27-05-15,75.74,75.74,74.12,74.82,15329
28-05-15,75.33,75.33,74.24,74.9,15528
29-05-15,74.9,75.82,74,75.56,12093
01-06-15,75.58,75.94,74.21,75.28,10063
02-06-15,75.98,75.98,74.39,74.54,17340
03-06-15,74.72,74.72,73,73.49,10813
04-06-15,73.81,73.84,72.2,72.2,23318
05-06-15,72.1,73.12,71.74,72.64,29163
09-06-15,72.66,73.15,71.49,72.37,16838
10-06-15,72.16,72.65,71.8,7.27E+01,13368
11-06-15,72.73,73.01,72.47,72.54,16714
12-06-15,72.4,73.16,72.25,72.82,14678
15-06-15,72.41,72.81,72.04,72.79,11975
16-06-15,72.89,73.08,72.37,72.41,100276
17-06-15,72.82,73.73,72.29,72.53,34699
18-06-15,72.54,72.65,70.95,71.47,14916
19-06-15,72.5,73.85,72.5,73.59,11340
22-06-15,73.97,74.89,73.33,74.85,11269
23-06-15,75,75.41,74.6,75.31,12168
24-06-15,74.95,75.85,74.48,74.99,11866
25-06-15,75.1,75.36,73.57,74.09,12129
26-06-15,74,75,71.8,73.53,24916
29-06-15,73.2,73.43,72,72.44,11828
30-06-15,71.29,73,71.29,72.41,18536
01-07-15,71.5,72.41,71.01,72.41,20871
02-07-15,72.41,73.21,72.29,72.95,14364
03-07-15,72.82,72.86,71.4,72.05,17535
06-07-15,71.97,72.19,71.05,72.19,11757
07-07-15,72,73.03,71.44,72.68,9879
08-07-15,72.37,73.28,72,72.64,13057
09-07-15,72.04,72.43,71.55,72.04,9338
10-07-15,72.19,72.9,72.14,72.24,8434
13-07-15,72.26,72.64,71.94,71.96,9383
14-07-15,72.94,73.73,72.94,73.73,12906
15-07-15,73.6,74.25,73.2,73.72,12016
16-07-15,74.82,74.98,73.95,74.43,19694
17-07-15,74.1,74.79,74,74,12592
20-07-15,74.2,74.56,73.7,74.02,18416
21-07-15,74.1,74.5,73.91,74.49,13262
