level_0,Date,1_Day_returns,5_Day_returns,10_Day_returns
AMZN,2016-01-15,-0.03848230577439926,-0.06073634108985737,-0.156401218662242
AMZN,2016-01-19,0.0075414568175034,-0.07002947914900548,-0.09813342552309967
AMZN,2016-01-20,-0.004717241731015176,-0.07464110767905596,-0.09785569454589582
AMZN,2016-01-21,0.005684103553845743,-0.0116704388990152,-0.09109302562058275
AMZN,2016-01-22,0.03714650729721547,0.005699839600021184,-0.019015030286163692
AMZN,2016-01-25,0.00025155842388113747,0.0462135412669189,-0.017329641228296278
AMZN,2016-01-26,0.007912377367973233,0.046598698721245,-0.02669406302823063
AMZN,2016-01-27,-0.029771350376819106,0.020252821342715777,-0.055899979354986584
AMZN,2016-01-28,0.08914031400750355,0.10491800981793253,0.09202313169593102
AMZN,2016-01-29,-0.07609975201674923,-0.01572823502802656,-0.010118043844856706
AMZN,2016-02-01,-0.020766614039874343,-0.03641062590576116,0.008120251398307632
AMZN,2016-02-02,-0.039508745618749064,-0.08174640235187114,-0.03895697960536659
AMZN,2016-02-03,-0.03809086975488429,-0.08962024590676787,-0.07118248739309219
AMZN,2016-02-04,0.009772727455568342,-0.15596123337996348,-0.06740636577700676
AMZN,2016-02-05,-0.0636445087481522,-0.14458261519112015,-0.158036820866454
AMZN,2016-02-08,-0.02794096875882013,-0.1508498318111443,-0.18176792092288285
AMZN,2016-02-09,-0.012354023158971272,-0.12684291135386616,-0.1982203620387214
AMZN,2016-02-10,0.01744560651841831,-0.07643059441899602,-0.1592011116591331
AMZN,2016-02-11,0.02719783893142691,-0.060493047869790484,-0.20701971089306825
AMZN,2016-02-12,0.006470523600998979,0.009857968337519285,-0.13614993769631067
AMZN,2016-02-16,0.027648476344813933,0.06760903312798416,-0.09343960995943057
AMZN,2016-02-17,0.02494722818856876,0.10793031607694625,-0.03260279079146278
AMZN,2016-02-18,-0.017037962931854334,0.07038001190762921,-0.011429768656682993
AMZN,2016-02-19,0.018857189360119042,0.06168873136838937,-0.0025360558810956224
AMZN,2016-02-22,0.04598985691370028,0.10337622232358368,0.1142532701876211
AMZN,2016-02-23,-0.011724749881311447,0.06110157042257969,0.13284162164943591
AMZN,2016-02-24,0.0019893217728519375,0.03733383889323516,0.1492936080022942
AMZN,2016-02-25,0.002003549257710624,0.05742861793154752,0.13185045665303785
AMZN,2016-02-26,0.00014402603111096646,0.03800702024075853,0.10204035647089316
AMZN,2016-02-29,-0.004880790002031454,-0.012475389577747964,0.0896111740992731
AMZN,2016-03-01,0.04799818569215453,0.04720218372824858,0.11118788170399951
AMZN,2016-03-02,0.0020206617672557936,0.04723493788027855,0.08633223833446801
AMZN,2016-03-03,-0.004688012332212721,0.04024131286653798,0.09998093377976192
AMZN,2016-03-04,-0.004069292326580043,0.035859076202763074,0.07522899307857478
AMZN,2016-03-07,-0.021455691729277082,0.018605603233055934,0.0058981015066466025
AMZN,2016-03-08,-0.00451310959921003,-0.03243293895820076,0.013238339226495865
AMZN,2016-03-09,-0.0014101293126926873,-0.035745765298946686,0.009800723577953141
AMZN,2016-03-10,-0.0009651599828764956,-0.032139080975345014,0.0068089130784212415
AMZN,2016-03-11,0.019107925528656367,-0.009615100942429344,0.025899186622941883
AMZN,2016-03-14,0.006601025021189422,0.01878110794861465,0.03773614502443978
AMZN,2016-03-15,0.006365914584205878,0.029914699377948217,-0.003488461199130488
AMZN,2016-03-16,-0.004765865839861161,0.026453696539824545,-0.010237676386924188
AMZN,2016-03-17,-0.02582411859485334,0.000912475215694597,-0.0312559318744956
AMZN,2016-03-18,-0.013155986914491935,-0.030775387918979824,-0.04009458040002567
AMZN,2016-03-21,0.00344146377353316,-0.033817630524029196,-0.015671655144852803
AMZN,2016-03-22,0.011733275983186298,-0.02866458442106834,0.00039262253112992695
AMZN,2016-03-23,0.016325336734436036,-0.008079848312863236,0.018160106371605034
AMZN,2016-03-24,0.023383612538035115,0.04202418429684496,0.04297500553917
AMZN,2016-03-28,-0.005283501201385876,0.05033686633657175,0.01801234182945821
AMZN,2016-03-29,0.02412608059078436,0.07198816976936251,0.03573606991797185
AMZN,2016-03-30,0.008133259032403695,0.06817374982903002,0.03755499320068689
AMZN,2016-03-31,-0.008435062841162133,0.04215018443518348,0.033729769025724776
AMZN,2016-04-01,0.008186754988948497,0.026674650428596625,0.06981981515110691
AMZN,2016-04-04,-0.008872176371919394,0.02297067866311453,0.07446381698121196
AMZN,2016-04-05,-0.011884872914163958,-0.012999647885948762,0.05805270102445803
AMZN,2016-04-06,0.02719487160583456,0.005662387269894875,0.07422216327209785
AMZN,2016-04-07,-0.017688719292726973,-0.00372283188148137,0.038270434503276496
AMZN,2016-04-08,0.005359861605622074,-0.006516331518901408,0.01998449804435176
AMZN,2016-04-11,0.0022368266808843185,0.004619076894583518,0.02769585888876369
AMZN,2016-04-12,0.012149061673950579,0.029054437226800234,0.015677091887378536
AMZN,2016-04-13,0.01931466210877053,0.02115996191993519,0.026942165088836845
AMZN,2016-04-14,0.009645087350994563,0.0495747724791018,0.045667382054118244
AMZN,2016-04-15,0.008280329679319465,0.05262368036874854,0.0457644355028195
AMZN,2016-04-18,0.015114414219906669,0.06614868087635073,0.07107330361437736
AMZN,2016-04-19,-0.01172574401219495,0.04100011970852635,0.0712457923396892
AMZN,2016-04-20,0.008106331617142803,0.029553337064020635,0.05133864647083741
AMZN,2016-04-21,-0.0031437941595856556,0.01651228352799028,0.06690564870610283
AMZN,2016-04-22,-0.016640253565768592,-0.008611760089294762,0.04355873776910224
